,P,,EQUIPE,TOT,LIC,R1,R2,R3,R4,R5,R6,,,,,,
0,1,,Oak Racing Team,,209,4,16,45,44,49,55,,,,,,
1,2,,BraClean e-Sports Racing Team,,128,0,32,29,32,13,22,,,,,,
2,3,,Performance Solutions,,78,0,25,0,20,20,13,,,,,,
3,4,,SWR Team,,65,0,20,16,0,13,16,,,,,,
4,5,,Academia GP,,46,2,9,13,10,14,0,,,,,,
5,6,,Risseto MotorSport,,28,0,7,0,7,6,8,,,,,,
6,6,,West Racing,,28,2,10,13,5,0,0,,,,,,
7,8,,Mancos Racing Team,,25,2,5,5,0,10,5,,,,,,
8,9,,Hattrick Racing,,17,8,7,10,0,0,0,,,,,,
9,10,,Academia GP 2,,9,0,0,0,0,0,9,,,,,,
10,11,,Overmind Racing,,8,0,0,0,4,1,3,,,,,,
11,12,,Grip Racing,,7,0,0,0,6,0,1,,,,,,
12,13,,BraClean e-Sports Racing Team 2,,5,2,0,0,1,4,0,,,,,,
13,14,,Equipe dos Guri,,3,0,0,0,0,3,0,,,,,,
14,15,,Flying Arrows,,2,0,0,0,2,0,0,,,,,,
15,16,,Hattrick Racing 2,,0,0,0,0,0,0,0,,,,,,
16,16,,Rush Racing,,0,0,0,0,0,0,0,,,,,,
17,16,,Raptors Racing,,0,0,0,0,0,0,0,,,,,,
