,P,C,PILOTO,EQUIPE,TOT,L,R1,R2,R3,R4,R5,R6,KG,PP,FL,HT,GC
0,1,C,Caique Oliveira,Oak Racing Team,87,0,16,20,16,25,10,,,2,3,,
1,2,S,Gabriel Felipe,Oak Racing Team,83,0,F,25,25,8,25,,,1,2,,
2,3,S,Diego Cargnin,Performance Solutions,78,0,25,0,20,20,13,,,1,,,
3,4,S,Tiago Costa,SWR Team,65,0,20,16,DNF,13,16,,,1,,,
4,5,C,Luis Augusto,BraClean e-Sports Racing Team,56,0,13,8,13,11,11,,,,,,
5,6,S,Danilo Zilocchi,Oak Racing Team,39,4,F,F,3,16,20,,,,,,
6,7,C,Eduardo Kissilevitch,BraClean e-Sports Racing Team,37,0,11,11,11,0,4,,,,,,
7,8,S,Claudio Braga,BraClean e-Sports Racing Team,35,0,8,10,8,2,7,,,,,,
8,9,C,Henrique Mandziuc,West Racing,28,2,10,13,5,F,F,,,,,,
9,10,C,Douglas Garcia,Academia GP,26,0,9,7,10,0,0,,,,,,
10,11,C,Guilherme Corso,Independente,25,0,6,4,F,7,8,,,,,,
11,12,S,Marlon Batista,Risseto MotorSport,21,0,2,0,7,6,6,,,,,,
12,13,C,Vitor Novaes,Academia GP,15,0,F,6,F,9,0,,,,,,
13,14,S,Paulo Pessate,Independente,14,0,0,5,9,0,DNF,,,,,,
14,15,S,Olavo Alves,Mancos Racing Team,13,2,0,3,DNF,10,F,,,,,,
15,16,C,Colin Alexander,Academia GP 2,9,0,DNF,0,0,0,9,,,,,,
16,16,C,Celso Pedri,Hattrick Racing,9,2,F,9,DNF,F,0,,,,,,
17,18,C,Fernando Passos,Overmind Racing,8,0,F,F,4,1,3,,,,,,
18,18,C,Ricardo Alves,Hattrick Racing,8,0,7,1,F,F,F,,,,,,
19,20,S,Romualdo Junior,Mancos Racing Team,7,0,0,2,0,0,5,,,,,,
20,20,C,Marcelo Eduardo,Grip Racing,7,0,0,0,6,0,1,,,,,,
21,20,S,Adriano Michel,Risseto MotorSport,7,0,5,DNF,0,0,2,,,,,,
22,23,C,Alaor Terra,BraClean e-Sports Racing Team 2,5,2,F,0,1,4,0,,,,,,
23,23,C,Vinicius Dessotti,Academia GP,5,2,0,0,F,5,F,,,,,,
24,25,S,Andy Oak,Mancos Racing Team,4,0,4,0,F,DNF,F,,,,,,
25,26,S,Jhonatan Lovatel,Equipe dos Guri,3,0,0,DNF,0,3,0,,,,,,
26,27,C,Andrei Borges,Flying Arrows,2,0,F,0,2,DNF,F,,,,,,
27,28,S,Ricardo Zdepski,Mancos Racing Team,1,0,1,0,DNF,0,F,,,,,,
28,29,C,Joao Bramatti,Hattrick Racing,0,6,0,0,0,DNF,0,,,,,,
29,29,S,Andre Roque,Equipe dos Guri,0,0,0,F,0,0,0,,,,,,
30,29,S,Lucas Bueno,Risseto MotorSport,0,0,0,0,0,F,F,,,,,,
31,29,C,Celso Varao,Flying Arrows,0,0,F,F,0,0,F,,,,,,
32,29,S,Gerson Santos,Rush Racing,0,0,F,0,0,F,F,,,,,,
33,29,C,Lucas Marcoviz,Hattrick Racing 2,0,0,0,0,DNF,DNF,F,,,,,,
34,29,C,Rogerio Pavan,Raptors Racing,0,0,F,0,F,F,F,,,,,,
35,29,S,Alvaro Chaves,Independente,0,0,F,F,F,F,F,,,,,,
36,29,S,Andre Borges,Hattrick Racing,0,0,F,F,F,F,F,,,,,,
